id,code,name,hex
742,742,Tangerine Light,#ffbf57
743,743,Yellow Med,#fed376
744,744,Yellow Pale,#ffe793
745,745,Yellow Pale Light,#ffe9ad
746,746,Off White,#fcfcee
747,747,Peacock Blue Vy Lt,#e5fcfd
754,754,Peach Light,#f7cbbf
758,758,Terra Cotta Vy Lt,#eeaa9b
760,760,Salmon,#f5adad
761,761,Salmon Light,#ffc9c9
762,762,Pearl Gray Vy Lt,#ececec
772,772,Yellow Green Vy Lt,#e4ecd4
775,775,Baby Blue Very Light,#d9ebf1
777,777,Raspberry Very Dark,#913546
778,778,Antique Mauve Vy Lt,#dfb3bb
779,779,Cocoa Dark,#624b45
780,780,Topaz Ultra Vy Dk,#94631a
781,781,Topaz Very Dark,#a26d20
782,782,Topaz Dark,#ae7720
783,783,Topaz Medium,#ce9124
791,791,Cornflower Blue V D,#464563
792,792,Cornflower Blue Dark,#555b7b
793,793,Cornflower Blue Med,#707da2
794,794,Cornflower Blue Light,#8f9cc1
796,796,Royal Blue Dark,#11416d
797,797,Royal Blue,#13477d
798,798,Delft Blue Dark,#466a8e
799,799,Delft Blue Medium,#748eb6
800,800,Delft Blue Pale,#c0ccde
801,801,Coffee Brown Dk,#653919
803,803,Baby Blue Ult Vy Dk,#2c597c
806,806,Peacock Blue Dark,#3d95a5
807,807,Peacock Blue,#64abba
809,809,Delft Blue,#94a8c6
813,813,Blue Light,#a1c2d7
814,814,Garnet Dark,#7b001b
815,815,Garnet Medium,#87071f
816,816,Garnet,#970b23
817,817,Coral Red Very Dark,#bb051f
818,818,Baby Pink,#ffdfd9
819,819,Baby Pink Light,#ffeeeb
820,820,Royal Blue Very Dark,#0e365c
822,822,Beige Gray Light,#e7e2d3
823,823,Navy Blue Dark,#213063
824,824,Blue Very Dark,#396987
825,825,Blue Dark,#4781a5
826,826,Blue Medium,#6b9ebf
827,827,Blue Very Light,#bddded
828,828,Sky Blue Vy Lt,#c5e8ed
829,829,Golden Olive Vy Dk,#7e6b42
830,830,Golden Olive Dk,#8d784b
831,831,Golden Olive Md,#aa8f56
832,832,Golden Olive,#bd9b51
833,833,Golden Olive Lt,#c8ab6c
834,834,Golden Olive Vy Lt,#dbbe7f
838,838,Beige Brown Vy Dk,#594937
839,839,Beige Brown Dk,#675541
840,840,Beige Brown Med,#9a7c5c
841,841,Beige Brown Lt,#b69b7e
842,842,Beige Brown Vy Lt,#d1baa1
844,844,Beaver Gray Ult Dk,#484848
869,869,Hazelnut Brown V Dk,#835e39
890,890,Pistachio Grn Ult V D,#174923
891,891,Carnation Dark,#ff5773
892,892,Carnation Medium,#ff798c
893,893,Carnation Light,#fc90a2
894,894,Carnation Very Light,#ffb2bb
895,895,Hunter Green Vy Dk,#1b5300
898,898,Coffee Brown Vy Dk,#492a13
899,899,Rose Medium,#f27688
900,900,Burnt Orange Dark,#d15807
902,902,Garnet Very Dark,#822637
904,904,Parrot Green V Dk,#557822
905,905,Parrot Green Dk,#628a28
906,906,Parrot Green Md,#7fb335
907,907,Parrot Green Lt,#c7e666
909,909,Emerald Green Vy Dk,#156f49
910,910,Emerald Green Dark,#187e56
911,911,Emerald Green Med,#189065
912,912,Emerald Green Lt,#1b9d6b
913,913,Nile Green Med,#6dab77
915,915,Plum Dark,#820043
917,917,Plum Medium,#9b1359
918,918,Red?Copper Dark,#82340a
919,919,Red?Copper,#a64510
920,920,Copper Med,#ac5414
921,921,Copper,#c66218
922,922,Copper Light,#e27323
924,924,Gray Green Vy Dark,#566a6a
926,926,Gray Green Med,#98aeae
927,927,Gray Green Light,#bdcbcb
928,928,Gray Green Vy Lt,#dde3e3
930,930,Antique Blue Dark,#455c71
931,931,Antique Blue Medium,#6a859e
932,932,Antique Blue Light,#a2b5c6
934,934,Avocado Grn Black,#313919
935,935,Avocado Green Dk,#424d21
936,936,Avocado Grn V Dk,#4c5826
937,937,Avocado Green Md,#627133
938,938,Coffee Brown Ult Dk,#361f0e
939,939,Navy Blue Very Dark,#1b2853
943,943,Green Bright Md,#3d9384
945,945,Tawny,#fbd5bb
946,946,Burnt Orange Med,#eb6307
947,947,Burnt Orange,#ff7b4d
948,948,Peach Very Light,#fee7da
950,950,Desert Sand Light,#eed3c4
951,951,Tawny Light,#ffe2cf
954,954,Nile Green,#88ba91
955,955,Nile Green Light,#a2d6ad
956,956,Geranium,#ff9191
957,957,Geranium Pale,#fdb5b5
958,958,Sea Green Dark,#3eb6a1
959,959,Sea Green Med,#59c7b4
961,961,Dusty Rose Dark,#cf7373
962,962,Dusty Rose Medium,#e68a8a
963,963,Dusty Rose Ult Vy Lt,#ffd7d7
964,964,Sea Green Light,#a9e2d8
966,966,Jade Ultra Vy Lt,#b9d7c0
967,967,Apricot Very Light,#ffded5
970,970,Pumpkin Light,#f78b13
971,971,Pumpkin,#f67f00
972,972,Canary Deep,#ffb515
973,973,Canary Bright,#ffe300
975,975,Golden Brown Dk,#914f12
976,976,Golden Brown Med,#c28142
977,977,Golden Brown Light,#dc9c56
986,986,Forest Green Vy Dk,#405230
987,987,Forest Green Dk,#587141
988,988,Forest Green Med,#738b5b
989,989,Forest Green,#8da675
991,991,Aquamarine Dk,#477b6e
992,992,Aquamarine Lt,#6fae9f
993,993,Aquamarine Vy Lt,#90c0b4
995,995,Electric Blue Dark,#2696b6
996,996,Electric Blue Medium,#30c2ec
3011,3011,Khaki Green Dk,#898a58
3012,3012,Khaki Green Md,#a6a75d
3013,3013,Khaki Green Lt,#b9b982
3021,3021,Brown Gray Vy Dk,#4f4b41
3022,3022,Brown Gray Med,#8e9078
3023,3023,Brown Gray Light,#b1aa97
3024,3024,Brown Gray Vy Lt,#ebeae7
3031,3031,Mocha Brown Vy Dk,#4b3c2a
3032,3032,Mocha Brown Med,#b39f8b
3033,3033,Mocha Brown Vy Lt,#e3d8cc
3041,3041,Antique Violet Medium,#956f7c
3042,3042,Antique Violet Light,#b79da7
3045,3045,Yellow Beige Dk,#bc966a
3046,3046,Yellow Beige Md,#d8bc9a
3047,3047,Yellow Beige Lt,#e7d6c1
3051,3051,Green Gray Dk,#5f6648
3052,3052,Green Gray Md,#889268
3053,3053,Green Gray,#9ca482
3064,3064,Desert Sand,#c48e70
3072,3072,Beaver Gray Vy Lt,#e6e8e8
3078,3078,Golden Yellow Vy Lt,#fdf9cd
3325,3325,Baby Blue Light,#b8d2e6
3326,3326,Rose Light,#fbadb4
